State_Abrvtn,Cnsmr,New_Cnsmr,Tot_Renrl,Year,Churn_Rate,Median_Income
OR,145509,29960,115549,2024,20.59,75657.0
PA,434571,89745,344826,2024,20.65,71798.0
RI,36121,10164,25957,2024,28.14,81854.0
SC,571175,137448,433727,2024,24.06,64115.0
SD,52974,9537,43437,2024,18.0,69728.0
TN,555103,154054,401049,2024,27.75,65254.0
TX,3484632,957080,2527552,2024,27.47,72284.0
UT,366939,77681,289258,2024,21.17,89168.0
VA,400058,57029,343029,2024,14.26,85873.0
VT,30027,4982,25045,2024,16.59,73991.0
WA,272494,59813,212681,2024,21.95,91306.0
WI,266327,60605,205722,2024,22.76,70996.0
WV,51046,17571,33475,2024,34.42,54329.0
WY,42293,8861,33432,2024,20.95,70042.0
Total,16363133,4226461,12136672,2024,25.83,
Total,5083017,989303,4093714,2024,19.46,
Total,21446150,5215764,16230386,2024,24.32,
